trial,has_wave,has_rotation,final_energy,max_amplitude
62,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03620314970612526,0.2639690637588501
63,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03661263361573219,0.18999946117401123
64,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03752395138144493,0.26245763897895813
65,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04518559202551842,0.362333744764328
66,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03596704080700874,0.2404659241437912
67,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.05169842392206192,0.23161493241786957
68,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04800182580947876,0.26893943548202515
69,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04070916771888733,0.23444397747516632
70,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02934848517179489,0.2127678245306015
71,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.042589060962200165,0.21578939259052277
72,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03006196767091751,0.2391522377729416
73,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.030419420450925827,0.27574822306632996
74,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.028296712785959244,0.2231503278017044
75,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04224345088005066,0.19462870061397552
76,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04095778614282608,0.23138085007667542
77,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.033682242035865784,0.2522631585597992
78,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.030305635184049606,0.2901994287967682
79,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.040885940194129944,0.2663130462169647
80,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04252830147743225,0.30585286021232605
