trial,has_wave,has_rotation,final_energy,max_amplitude
62,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02254761941730976,0.3281022906303406
63,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03739755228161812,0.22243694961071014
64,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03972464054822922,0.260408878326416
65,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03458883985877037,0.200098916888237
66,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.057392630726099014,0.27288952469825745
67,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.043295394629240036,0.2772871255874634
68,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.025767140090465546,0.2242916375398636
69,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.05171283334493637,0.19073915481567383
70,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.045136936008930206,0.24119214713573456
71,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03182455152273178,0.21271169185638428
72,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03513865917921066,0.2770678997039795
73,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.027945270761847496,0.25063201785087585
74,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.05793745070695877,0.348617821931839
75,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.028153270483016968,0.3099167048931122
76,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03043072298169136,0.26568296551704407
77,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03697645291686058,0.2676796317100525
78,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.022559212520718575,0.21413889527320862
79,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.027274835854768753,0.19115528464317322
80,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03846312314271927,0.4361342489719391
81,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.025977149605751038,0.2421383112668991
82,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03791250288486481,0.2550811469554901
83,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03431328758597374,0.25214698910713196
84,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03020576760172844,0.23323912918567657
85,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03614702820777893,0.25963547825813293
86,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03954419121146202,0.23008279502391815
87,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03605931997299194,0.2708195745944977
88,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.0386757031083107,0.22876325249671936
89,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.030490458011627197,0.22504690289497375
90,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.0246594101190567,0.2751040756702423
91,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.028917908668518066,0.24840913712978363
