config,nodes,modes,timesteps,trials,mean_rotation,std_rotation,wave_detection_pct,wave_speed
small,961,100,1000,100,3474.3878678385418,1425.7120519734021,66.66666666666666,0.8077666163444519
medium,2401,300,2000,500,6941.6010859375,2005.9196154394624,66.66666666666666,2.5543715953826904
large,4900,800,5000,200,16948.373958333334,2655.675705906422,33.33333333333333,3.649479389190674
xlarge,10000,1500,10000,100,32179.707942708334,3996.1915143007095,33.33333333333333,5.213804721832275
mega,24964,2000,10000,50,31803.771114864863,3974.839734055301,32.432432432432435,8.238048553466797
giga,24964,2000,15000,50,49704.45555320946,4983.8852791522695,32.432432432432435,8.238048553466797
ultra,25921,2200,15000,40,48746.528125,6522.636707966353,33.33333333333333,8.394472122192383
max,25921,2500,20000,100,65333.30588541667,6178.653438053219,33.33333333333333,8.394472122192383
