drug,K,omega_spread,R_final,R_mean,metastability,H_mode,PR,R,S_dot,kappa,C
Baseline,1.0,0.5,0.02639032633979302,0.04416395388806039,0.012892302272104752,0.9980692026369827,0.9754887499191887,0.01851914107770188,0.9999999851238406,0.7044177166883471,0.7392989590892122
Propofol_low,2.0,0.3,0.03007468232078113,0.035051164420729364,0.016039529084370216,0.8324324421658281,0.06159408215662545,0.13115904269539194,0.9999989817880275,0.548639888959072,0.514764887552989
Propofol_high,4.0,0.1,0.07693875203967741,0.09679695683471391,0.009999816507110968,0.8324324421658281,0.06159408215662545,0.07868310694289063,0.9999989817880275,0.548639888959072,0.5042697004024888
Ketamine_low,0.5,0.8,0.08399181258267713,0.04406668903450999,0.021648766534040926,0.9412447467883264,0.47784269922734857,0.10613725832395693,0.9999997749463103,0.6615041974353538,0.6373457353442593
Ketamine_high,0.2,1.2,0.015475906490879649,0.041215591702262314,0.02416139445830469,0.9412447467883264,0.47784269922734857,0.052381640830979855,0.9999997749463103,0.6615041974353538,0.6265946118456638
Psychedelic,0.3,1.5,0.050985246879536844,0.04802608453418027,0.030077726442615943,0.997850271298064,0.9730200707799758,0.04279115866106024,0.9999999829238888,0.7066957884945169,0.7440714544315011
