H_mode,PR,R,S_dot,kappa,C,time,state
0.9908732207358659,0.9462527310986614,0.14620867230877396,0.5096674124001156,0.8511021977107468,0.6888208468508328,0,wake
0.9908732207358659,0.9462527310986614,0.2687510720236716,0.5,0.8511021977107468,0.7113958443137892,1,wake
0.9908732207358659,0.9462527310986614,0.15647336354553204,0.5,0.8511021977107468,0.6889403026181613,2,wake
0.9908732207358659,0.9462527310986614,0.2554486127616508,0.5,0.8511021977107468,0.7087353524613851,3,wake
0.9908732207358659,0.9462527310986614,0.2779509959669664,0.5,0.8511021977107468,0.7132358291024481,4,wake
0.9908732207358659,0.9462527310986614,0.14854228572375394,0.5,0.8511021977107468,0.6873540870538056,5,wake
0.9908732207358659,0.9462527310986614,0.03742260255117956,0.5,0.8511021977107468,0.6651301504192908,6,wake
0.9908732207358659,0.9462527310986614,0.18308476696108578,0.5,0.8511021977107468,0.694262583301272,7,wake
0.9908732207358659,0.9462527310986614,0.07177517260267302,0.5,0.8511021977107468,0.6720006644295895,8,wake
0.9908732207358659,0.9462527310986614,0.1707519501532987,0.5,0.8511021977107468,0.6917960199397146,9,wake
0.9908732207358659,0.9462527310986614,0.15859509137207656,0.5,0.8511021977107468,0.6893646481834702,10,wake
0.9908732207358659,0.9462527310986614,0.22660161836563125,0.5,0.8511021977107468,0.7029659535821812,11,wake
0.9908732207358659,0.9462527310986614,0.03515965295277227,0.5,0.8511021977107468,0.6646775604996094,12,wake
0.9908732207358659,0.9462527310986614,0.013991137324664664,0.5,0.8511021977107468,0.6604438573739878,13,wake
0.9908732207358659,0.9462527310986614,0.15620424207417344,0.5,0.8511021977107468,0.6888864783238896,14,wake
0.9908732207358659,0.9462527310986614,0.24538098166453284,0.5,0.8511021977107468,0.7067218262419614,15,wake
0.9908732207358659,0.9462527310986614,0.39865761861639976,0.5,0.8511021977107468,0.7373771536323348,16,wake
0.9908732207358659,0.9462527310986614,0.23163937283622438,0.5,0.8511021977107468,0.7039735044762997,17,wake
0.9908732207358659,0.9462527310986614,0.08109153525763287,0.5,0.8511021977107468,0.6738639369605814,18,wake
0.9908732207358659,0.9462527310986614,0.3107654444747897,0.5,0.8511021977107468,0.7197987188040128,19,wake
0.9908732207358659,0.9462527310986614,0.06981264556034619,0.5,0.8511021977107468,0.6716081590211241,20,wake
0.9908732207358659,0.9462527310986614,0.23719028887943674,0.5,0.8511021977107468,0.7050836876849422,21,wake
0.9908732207358659,0.9462527310986614,0.06978863115319234,0.5,0.8511021977107468,0.6716033561396934,22,wake
0.9908732207358659,0.9462527310986614,0.17393281642256395,0.5,0.8511021977107468,0.6924321931935676,23,wake
0.9908732207358659,0.9462527310986614,0.3056057727884165,0.5,0.8511021977107468,0.7187667844667381,24,wake
0.9908732207358659,0.9462527310986614,0.25889303661788704,0.5,0.8511021977107468,0.7094242372326323,25,wake
0.9908732207358659,0.9462527310986614,0.07225669778744825,0.5,0.8511021977107468,0.6720969694665445,26,wake
0.9908732207358659,0.9462527310986614,0.5072840286599324,0.5,0.8511021977107468,0.7591024356410413,27,wake
0.9908732207358659,0.9462527310986614,0.11944899152919554,0.5,0.8511021977107468,0.681535428214894,28,wake
0.9908732207358659,0.9462527310986614,0.20668207173312236,0.5,0.8511021977107468,0.6989820442556793,29,wake
0.9908732207358659,0.9462527310986614,0.22290821119215393,0.5,0.8511021977107468,0.7022272721474857,30,wake
0.9908732207358659,0.9462527310986614,0.25133333450621326,0.5,0.8511021977107468,0.7079122968102975,31,wake
0.9908732207358659,0.9462527310986614,0.30049692584704224,0.5,0.8511021977107468,0.7177450150784633,32,wake
0.9908732207358659,0.9462527310986614,0.20004566694539413,0.5,0.8511021977107468,0.6976547632981337,33,wake
0.9908732207358659,0.9462527310986614,0.22522931425638504,0.5,0.8511021977107468,0.7026914927603318,34,wake
0.9908732207358659,0.9462527310986614,0.22296491213799607,0.5,0.8511021977107468,0.7022386123366541,35,wake
0.9908732207358659,0.9462527310986614,0.0056047681266806456,0.5,0.8511021977107468,0.658766583534391,36,wake
0.9908732207358659,0.9462527310986614,0.2685194137074684,0.5,0.8511021977107468,0.7113495126505486,37,wake
0.9908732207358659,0.9462527310986614,0.09529956304109656,0.5,0.8511021977107468,0.6767055425172742,38,wake
0.9908732207358659,0.9462527310986614,0.19502406332157177,0.5,0.8511021977107468,0.6966504425733692,39,wake
0.9908732207358659,0.9462527310986614,0.15290692687619514,0.5,0.8511021977107468,0.6882270152842939,40,wake
0.9908732207358659,0.9462527310986614,0.160858149243138,0.5,0.8511021977107468,0.6898172597576825,41,wake
0.9908732207358659,0.9462527310986614,0.2313103940913003,0.5,0.8511021977107468,0.7039077087273149,42,wake
0.9908732207358659,0.9462527310986614,0.26980892373845466,0.5,0.8511021977107468,0.7116074146567458,43,wake
0.9908732207358659,0.9462527310986614,0.20672133211668067,0.5,0.8511021977107468,0.698989896332391,44,wake
0.9908732207358659,0.9462527310986614,0.16899566958385046,0.5,0.8511021977107468,0.691444763825825,45,wake
0.9908732207358659,0.9462527310986614,0.21900370632706695,0.5,0.8511021977107468,0.7014463711744683,46,wake
0.9908732207358659,0.9462527310986614,0.18777232222569343,0.5,0.8511021977107468,0.6952000943541935,47,wake
0.9908732207358659,0.9462527310986614,0.28275287980824476,0.5,0.8511021977107468,0.7141962058707039,48,wake
0.9908732207358659,0.9462527310986614,0.05002085933519537,0.5,0.8511021977107468,0.6676498017760939,49,wake
0.9908732207358659,0.9462527310986614,0.23071615457859374,0.5,0.8511021977107468,0.7037888608247737,50,wake
0.9908732207358659,0.9462527310986614,0.28269809057136763,0.5,0.8511021977107468,0.7141852480233284,51,wake
0.9908732207358659,0.9462527310986614,0.2687598669071841,0.5,0.8511021977107468,0.7113976032904917,52,wake
0.9908732207358659,0.9462527310986614,0.11046495217171898,0.5,0.8511021977107468,0.6797386203433987,53,wake
0.9908732207358659,0.9462527310986614,0.18943747131675542,0.5,0.8511021977107468,0.695533124172406,54,wake
0.9908732207358659,0.9462527310986614,0.542159481625255,0.5,0.8511021977107468,0.7660775262341059,55,wake
0.9908732207358659,0.9462527310986614,0.13723571323307684,0.5,0.8511021977107468,0.6850927725556702,56,wake
0.9908732207358659,0.9462527310986614,0.14859523222047136,0.5,0.8511021977107468,0.6873646763531491,57,wake
0.9908732207358659,0.9462527310986614,0.19938776183005302,0.5,0.8511021977107468,0.6975231822750655,58,wake
0.9908732207358659,0.9462527310986614,0.21536354002959826,0.5,0.8511021977107468,0.7007183379149745,59,wake
0.9908732207358659,0.9462527310986614,0.12378402959409936,0.5,0.8511021977107468,0.6824024358278747,60,wake
0.9908732207358659,0.9462527310986614,0.06954707801847668,0.5,0.8511021977107468,0.6715550455127502,61,wake
0.9908732207358659,0.9462527310986614,0.2302012827388575,0.5,0.8511021977107468,0.7036858864568264,62,wake
