trial,has_wave,wave_speed,mean_rotation_velocity,wave_rotation_correlation,correspondence_p_value,has_correspondence
0,False,0.0,0.0,0.0,1.0,False
1,False,0.0,0.0,0.0,1.0,False
2,False,0.0,0.0,0.0,1.0,False
3,False,0.0,0.0,0.0,1.0,False
4,False,0.0,0.0,0.0,1.0,False
