perturbation_strength,rotation_angle,recovery_pct,normalized_recovery,rotation_quality,circularity,final_distance,initial_distance
0.01,0.0,0.0,0.5155230271659993,0.755766532680758,0.0,0.49055612744563637,1.0125478711115514
0.01,0.0,0.0,0.5134261774891659,0.7437045009906809,0.0,0.5152070685671148,1.0588466636131932
0.01,180.0,0.0,0.5273429323203804,0.7631075746341174,0.0,0.48625706108896605,1.028773489997964
0.01,180.0,0.0,0.562787794535904,0.7397922105431692,0.0,0.42580090674744553,0.9738998624145512
0.01,180.0,0.0,0.556157275379966,0.7707978187263317,0.0,0.44396890508003634,1.0002842909278515
0.01,0.0,0.0,0.5021209047010288,0.7277871602193964,0.0,0.4758174492351409,0.9556887479869335
0.01,180.0,0.0,0.4962511841504081,0.7097846891364968,0.0,0.5563745172327228,1.1044681391347304
0.01,180.0,0.0,0.509988674818038,0.7726868294925835,0.0,0.46148102749808445,0.9417762483891918
0.01,180.0,0.0,0.43867922521975844,0.7562548388416885,0.0,0.5378774094463091,0.9582353506457861
0.01,180.0,0.0,0.5154547366281933,0.7541780989982378,0.0,0.49093234811790293,1.013181605990017
0.01,180.0,0.0,0.5273343437754964,0.7725455658130103,0.0,0.45648170046955694,0.9657602460813025
0.01,180.0,0.0,0.5597987969361481,0.7300149124450226,0.0,0.41094679019105046,0.9335430874127846
0.01,180.0,0.0,0.5059285807894688,0.7482342459001969,0.0,0.4928111264926162,0.9974491689482284
0.01,0.0,0.0,0.5950143551355502,0.7693458159383996,0.0,0.43148432877094406,1.0654311683451483
0.01,0.0,0.0,0.5530791018660454,0.7591397984050294,0.0,0.47427352778614645,1.0612023956955208
0.01,0.0,0.0,0.523045720615087,0.7590691041685673,0.0,0.43754600640556157,0.9173751558950831
0.01,180.0,0.0,0.4632999909600857,0.7803217125227384,0.0,0.5119979274168102,0.95397413600329
0.01,0.0,0.0,0.5770398706481366,0.7713294869702069,0.0,0.47429422234278706,1.1213686336572364
0.01,180.0,0.0,0.5402568206456143,0.7300964509504984,0.0,0.46812210834699064,1.0182252382827548
0.01,180.0,0.0,0.5366044043134836,0.7653286895879629,0.0,0.4357730899869764,0.9403910914202419
0.02125,180.0,0.0,0.6069822194547762,0.7221196607541376,0.0,0.4755321590878761,1.2099507519180992
0.02125,0.0,0.0,0.5666128622661365,0.74014166640368,0.0,0.45708282596045535,1.0546755687086011
0.02125,0.0,0.0,0.5165905368347036,0.7523201919334151,0.0,0.509199070359957,1.0533494049243346
0.02125,180.0,0.0,0.5531611521209079,0.6940706390281445,0.0,0.45509259106250677,1.0184714091502804
0.02125,180.0,0.0,0.5720310881896329,0.7581260080939798,0.0,0.4649717533027203,1.0864615173467298
0.02125,0.0,0.0,0.5467929203301427,0.7475250328873494,0.0,0.4533428638961392,1.0002996074694614
0.02125,180.0,0.0,0.49060945541889905,0.7592948725257253,0.0,0.49524814149525853,0.9722366203372061
0.02125,0.0,0.0,0.6068192740077878,0.7614697610696066,0.0,0.45329720410003416,1.1528978256910098
0.02125,0.0,0.0,0.5810522100628983,0.7490418549427278,0.0,0.4783176047265206,1.1417117268916306
0.02125,0.0,0.0,0.5750998138998058,0.7720189772873081,0.0,0.4721108338084655,1.1111099718302753
0.02125,0.0,0.0,0.5670892520598273,0.720547852935538,0.0,0.46282754811517246,1.0691061617604702
0.02125,180.0,0.0,0.514609955534278,0.7721105950017321,0.0,0.5215959334233945,1.0745913299427579
0.02125,0.0,0.0,0.5611570933032378,0.7364659059692804,0.0,0.47086132473980485,1.0729610016578601
0.02125,0.0,0.0,0.4970686647150059,0.7740472153106353,0.0,0.5023827118554484,0.9989091484442207
0.02125,0.0,0.0,0.5199424827748754,0.7348501447537524,0.0,0.5041762269734021,1.0502412916845691
0.02125,180.0,0.0,0.5508994926605525,0.7215189354197056,0.0,0.46611411833228705,1.03788374921603
0.02125,0.0,0.0,0.49953729542652037,0.7866643852224368,0.0,0.5033903459883478,1.005849869307171
0.02125,180.0,0.0,0.5659394545254497,0.7815079976991218,0.0,0.5098612546723662,1.1746316498656757
0.02125,180.0,0.0,0.5102680959115241,0.7477113669604227,0.0,0.4696639113322441,0.9590224925337797
