perturbation_strength,rotation_angle,recovery_pct,rotation_quality,circularity,final_distance
0.1,0.0,0.0,0.6062101230062813,0.0,0.31267041582841454
0.1,180.0,0.0,0.6735822545015919,0.0,0.2775582910468084
0.1,180.0,0.0,0.45083035728091003,0.0,0.27785105169701707
0.1,180.0,0.0,0.43517426959597194,0.0,0.24462704629163196
0.1,0.0,0.0,0.5364645309485456,0.0,0.24718572132659952
0.1,180.0,0.0,0.6378943736950085,0.0,0.2808222506074774
0.1,0.0,0.0,0.6151033339730876,0.0,0.29341061698540705
0.1,180.0,0.0,0.40537188742742947,0.0,0.30931246364532666
0.1,180.0,0.0,0.670352412555183,0.0,0.2809973139322738
0.1,0.0,0.0,0.45777547297028987,0.0,0.2861768131446115
0.1,0.0,0.0,0.6651824487104998,0.0,0.3110920727613335
0.1,0.0,0.0,0.36765157959438954,0.0,0.29444106971642514
0.1,180.0,0.0,0.5504917620133494,0.0,0.299518816726817
0.1,180.0,0.0,0.5264793509994291,0.0,0.2839299559441631
0.1,180.0,0.0,0.5717068319133789,0.0,0.27313192428525945
0.1,180.0,0.0,0.5270978530409965,0.0,0.30539322660535395
0.1,180.0,0.0,0.5439298392455734,0.0,0.2760385333993585
0.1,180.0,0.0,0.6611991706184639,0.0,0.3074088655420824
0.1,0.0,0.0,0.5599836901498914,0.0,0.2779527093209778
0.1,180.0,0.0,0.5765594329977268,0.0,0.28263515415564
0.14444444444444446,180.0,0.0,0.4999893872029041,0.0,0.2667839786962095
0.14444444444444446,180.0,0.0,0.2749627163780548,0.0,0.2736930732372729
0.14444444444444446,180.0,0.0,0.6830101057214617,0.0,0.29281270772016393
0.14444444444444446,180.0,0.0,0.6439757121197605,0.0,0.26887147801049444
0.14444444444444446,180.0,0.0,0.6036551333191218,0.0,0.27974251625395685
0.14444444444444446,180.0,0.0,0.6207474668183552,0.0,0.27033006046672325
0.14444444444444446,0.0,0.0,0.6126519640471504,0.0,0.25334282982564893
0.14444444444444446,180.0,0.0,0.5373657569615522,0.0,0.25795724718285046
0.14444444444444446,180.0,0.0,0.640025506154142,0.0,0.2443327198644094
0.14444444444444446,180.0,0.0,0.5173995212622553,0.0,0.2608811734681348
0.14444444444444446,180.0,0.0,0.5910778621974072,0.0,0.2827826956678555
0.14444444444444446,180.0,0.0,0.5504877713494851,0.0,0.24253902518819556
0.14444444444444446,180.0,0.0,0.6144155201239452,0.0,0.2768674217932034
0.14444444444444446,180.0,0.0,0.5524144809564573,0.0,0.30540697917392234
0.14444444444444446,0.0,0.0,0.5512313231917927,0.0,0.2814610435665173
0.14444444444444446,180.0,0.0,0.632489262536587,0.0,0.29201582632765205
0.14444444444444446,180.0,0.0,0.6146705798019414,0.0,0.29024217900437355
0.14444444444444446,180.0,0.0,0.5189773141657481,0.0,0.29152559304264813
0.14444444444444446,180.0,0.0,0.5640258758046648,0.0,0.3216516999306645
0.14444444444444446,180.0,0.0,0.6461275462348236,0.0,0.31755675911028014
0.18888888888888888,0.0,0.0,0.36197922282929185,0.0,0.2751814990386661
0.18888888888888888,180.0,0.0,0.4980672592720613,0.0,0.2924362647733956
0.18888888888888888,0.0,0.0,0.34257674219903533,0.0,0.32265649526400764
0.18888888888888888,180.0,0.0,0.46372766530087794,0.0,0.2858774921179489
0.18888888888888888,180.0,0.0,0.6554834602083082,0.0,0.23664861351818495
0.18888888888888888,180.0,0.0,0.3320988287695853,0.0,0.326808124258735
0.18888888888888888,180.0,0.0,0.5915855898058939,0.0,0.30808598999408904
0.18888888888888888,180.0,0.0,0.5850209878192474,0.0,0.26860703574446365
0.18888888888888888,180.0,0.0,0.43803845919230033,0.0,0.26088357819670527
0.18888888888888888,180.0,0.0,0.596426170307079,0.0,0.25039552990175346
0.18888888888888888,180.0,0.0,0.5504271786236716,0.0,0.26497682995295296
0.18888888888888888,0.0,0.0,0.4439111760298555,0.0,0.26249514898218024
0.18888888888888888,180.0,0.0,0.5037920129125363,0.0,0.2946216999607696
0.18888888888888888,180.0,0.0,0.46023020974392403,0.0,0.2890789886758327
0.18888888888888888,180.0,0.0,0.6285294284618967,0.0,0.2645599193870762
0.18888888888888888,180.0,0.0,0.570130835815583,0.0,0.2605646313876324
0.18888888888888888,180.0,0.0,0.575000611865682,0.0,0.2670636621152299
0.18888888888888888,180.0,0.0,0.4037764199688354,0.0,0.2778868931645261
0.18888888888888888,180.0,0.0,0.45183824497063063,0.0,0.28258083044777244
0.18888888888888888,180.0,0.0,0.5924106155080523,0.0,0.2870440501781525
0.23333333333333334,180.0,0.0,0.5099082806329325,0.0,0.2565687063954413
0.23333333333333334,180.0,0.0,0.574355560352866,0.0,0.2804712567485323
0.23333333333333334,180.0,0.0,0.5231031924957108,0.0,0.30001337226225516
0.23333333333333334,0.0,0.0,0.5084821166998961,0.0,0.27122741399802175
0.23333333333333334,180.0,0.0,0.44566395485511634,0.0,0.30384805649410634
0.23333333333333334,180.0,0.0,0.6657838778960234,0.0,0.2551980376399327
0.23333333333333334,180.0,0.0,0.5443096481290516,0.0,0.2636966806022894
0.23333333333333334,180.0,0.0,0.6273416568802604,0.0,0.278420872931976
0.23333333333333334,180.0,0.0,0.5825020605272246,0.0,0.2730385862364067
0.23333333333333334,0.0,0.0,0.5976979149586674,0.0,0.2994826993793095
0.23333333333333334,180.0,0.0,0.5211258811934872,0.0,0.2928456165893
0.23333333333333334,180.0,0.0,0.4243602362318255,0.0,0.3387354565738663
0.23333333333333334,180.0,0.0,0.5441504536404052,0.0,0.26710672777653566
0.23333333333333334,180.0,0.0,0.5521230086650899,0.0,0.26737637111449697
0.23333333333333334,180.0,0.0,0.638105162043132,0.0,0.30800898812867783
0.23333333333333334,180.0,0.0,0.48420402092495496,0.0,0.29524106046882004
0.23333333333333334,180.0,0.0,0.6162850383298419,0.0,0.256712416567836
0.23333333333333334,180.0,0.0,0.5163702402015722,0.0,0.31453142353273544
0.23333333333333334,0.0,0.0,0.47416316893256694,0.0,0.28264066887027445
0.23333333333333334,180.0,0.0,0.6180857903159922,0.0,0.2622570257353141
0.2777777777777778,180.0,0.0,0.5093186610605056,0.0,0.2867237379929598
0.2777777777777778,180.0,0.0,0.6629540859178802,0.0,0.25932708849931907
