integration_level,differentiation_level,H_mode,PR,R,S_dot,kappa,C,lyapunov,avalanche_alpha,avalanche_ks,branching_ratio,susceptibility,correlation_length,criticality_score,n_avalanches,mean_avalanche_size,sheaf_consistency,phi_integration
0.0,1.0,0.9995989664749133,0.9976165488417115,0.13662741287878968,0.5132145114141938,0.6513738368871952,0.6596862552993608,0.26654852426881287,1.7816864301516557,0.4074074074074074,1.009765016489189,0.00011034418594283993,13.040501017267582,0.8452985019358538,27,2.074074074074074,0.7690542979899673,0.0
0.05,0.95,0.9996426914866334,0.997850065131159,0.10939451828991309,0.5140584466376513,0.6477997117893624,0.6537490866669439,0.25518660369601137,1.8602871156340193,0.56,1.0152071357600883,0.0001409741969866185,9.083138846984168,0.8298049500404069,25,1.96,0.7703180296157066,0.0
0.1,0.9,0.9994304916220962,0.9965989620278443,0.24382309333511135,0.5140078364405439,0.6482579614870245,0.680423668982524,0.2964062861847839,1.922767856160047,0.5862068965517241,1.008934581404941,0.00010253892305271793,8.955214986482233,0.8042712983234145,29,1.6896551724137931,0.7667951088494536,0.0
0.15000000000000002,0.85,0.9995057377547388,0.9970370323425974,0.273350659096508,0.5120159084990636,0.6423709341897336,0.6848560543765284,0.4144637025994607,1.7964611078906565,0.43478260869565216,1.0066361497795462,0.00011376696365551257,8.824907810141255,0.7937531363424073,23,2.0869565217391304,0.7793650223658379,0.0
0.2,0.8,0.9991644662519125,0.9950194514285741,0.1626375378011106,0.5122454914679835,0.6487489933369277,0.6635631880573016,0.1700305498724385,1.688834297428937,0.3393856520520726,1.0088009437096592,0.00013125877829088775,9.877587655665783,0.8984263249328704,22,2.4545454545454546,0.7702302487907688,0.0
0.25,0.75,0.9988208464305273,0.9930751607808445,0.17999558670117696,0.5128930805946715,0.6438312163324389,0.6657231781679318,0.29798196535368127,1.7891720776585815,0.45,1.006894344681262,0.00010324205946949884,7.856227339259728,0.8341141016197785,20,2.15,0.7721046784290797,0.0
0.30000000000000004,0.7,0.9990006680789987,0.9940777284922906,0.22655916001934964,0.5112047546914135,0.6585716389541484,0.6778827900472402,0.2823451295033269,1.7100459441182259,0.3714196025935158,1.0132124421290774,0.00013564212668509704,9.564301293105792,0.8548039329851483,23,2.347826086956522,0.7567327502765536,0.0
0.35000000000000003,0.6499999999999999,0.9989866187609291,0.994050589280057,0.10161064323516242,0.5164166525608945,0.6438482892258081,0.6509825586125703,0.3777585356225804,1.684598204534884,0.3,1.0141575064673745,0.00013326561405855455,11.617831834350516,0.8283394960733741,20,2.6,0.7677995010298657,0.0
0.4,0.6,0.9987902893123479,0.9927387283416472,0.16758206642442233,0.508351519924572,0.6441139124128783,0.6623153032831735,0.35799331368047754,1.8225609648541923,0.5217391304347826,1.008501699738624,0.00010532114435611746,9.436588864388842,0.8061547811149233,23,2.130434782608696,0.7733787357101003,0.0
0.45,0.55,0.9983779701081991,0.9903107234571238,0.09578083115982902,0.5053359030115392,0.6367605166229898,0.6453131888719362,0.3165798699215196,1.9798233261729696,0.7037037037037037,1.0110164451141546,0.00013816689676278413,12.55126537717291,0.7841738225052265,27,1.7037037037037037,0.7721593530386033,0.0
