perturbation_level,trial,time,H_mode,PR,R,S_dot,kappa,C
0.1,0,0,0.8180543856348076,0.31330861286411227,0.123330089916983,0.9986257631198098,0.7258024962295435,0.5958242695530512
0.1,0,1,0.8587072857635497,0.39008048855976646,0.09270248369534931,0.9998532810478848,0.7203790919526087,0.6123445262038318
0.1,0,2,0.8647200299394806,0.4012033985680419,0.18226365015560272,0.9996345703206393,0.7225266106834045,0.6340696519334339
0.1,0,3,0.8704916562308147,0.42980795112784376,0.08407384542664721,0.999942402453436,0.7360046542177934,0.624064101891307
0.1,0,4,0.859143760021381,0.4095106267167218,0.04186246608050695,0.9970456816738611,0.7354761909392068,0.6086077450863356
0.1,0,5,0.874713233729661,0.4259739020905522,0.013599028689232235,0.999577583531734,0.7198509146960116,0.6067429325474383
0.1,0,6,0.8637600204808117,0.4188272047766558,0.07678878004451978,0.9976603429251181,0.7109154141667737,0.6135903524787759
0.1,0,7,0.8648053768679881,0.41320556946957254,0.1858175258715018,0.9999880378954498,0.7053394901152327,0.633831200043949
0.1,0,8,0.8550637019504964,0.396274094317301,0.13715376658677247,0.9977383256696309,0.7045980421136854,0.6181655861275772
0.1,0,9,0.8730656813600741,0.4361365610625355,0.1969627936227887,0.9992824259835944,0.7191821445140949,0.6449259213086175
0.1,0,10,0.8781923802112386,0.46128380524469037,0.06444646336223309,0.9994909497050083,0.69382883945519,0.6194484875956721
0.1,0,11,0.8904480099805733,0.4936292586183366,0.10291198591454156,0.994632509711018,0.7038570265967224,0.6370957581642385
0.1,0,12,0.8629848523348935,0.4170323908497504,0.03897501692318426,0.9999133045477697,0.7477920548121839,0.6133395238935564
0.1,0,13,0.8695286181765746,0.42012992496674434,0.18867699574654678,0.9999083017475825,0.7217388818277477,0.6399965444930391
0.1,0,14,0.879214359172732,0.45760175681919607,0.059466174368120524,0.9995624286366871,0.7135906266213724,0.6218870691236217
0.1,0,15,0.8678876541445876,0.43640272881118086,0.0161625375113943,0.9994091859496096,0.701611781217452,0.6042947775268449
0.1,0,16,0.8867914615619285,0.4746086013654274,0.03634478998448071,0.9999176904172602,0.7145171146561095,0.6224359315970412
0.1,0,17,0.8756624453458574,0.4506029319817027,0.0678033171110924,0.9994060671255229,0.722606461243254,0.6232162445614859
0.1,0,18,0.871069195788669,0.44454275506178603,0.013089801310470764,0.9993352707676935,0.6990573484513829,0.6054188742760005
0.1,0,19,0.8703973138012571,0.44205997644870665,0.06910594515946172,0.9994742309281843,0.7131549065297813,0.6188384745734783
0.1,0,20,0.8786786830802624,0.4543512718867912,0.0891306238605453,0.9997727172997072,0.7383986956417528,0.6320663983538118
0.1,0,21,0.8790067311221875,0.4528190562938081,0.15491388676348522,0.9995827531530916,0.7243629512948964,0.6421370757254937
0.1,0,22,0.8513252465536987,0.380357846522957,0.1274282636397352,0.9984819584101048,0.7042138262090276,0.6123614282671047
0.1,0,23,0.8735824550080906,0.43182073252047765,0.19654875374311948,0.9951931250359696,0.7169942415572641,0.6428278615729843
0.1,0,24,0.8870531576978704,0.4736510965087475,0.11725897808172701,0.9994630191337557,0.7055227468547735,0.6365897996553749
0.1,0,25,0.8643224728761567,0.4217139603727154,0.12084427962703045,0.9988392538537824,0.7268478946655682,0.6265135722790507
0.1,0,26,0.8792599408711387,0.45095865416717673,0.11686489537249956,0.9999601989686785,0.705511014399972,0.6305109407558931
0.1,0,27,0.8760041081871283,0.46105032783480226,0.013800371852658148,0.9998702083642501,0.7124581741847003,0.6126366380847078
0.1,0,28,0.8743318744570322,0.43507046966484786,0.15567243489730717,0.9996972246500275,0.7246027364154395,0.6378749480169308
0.1,0,29,0.8909513966547354,0.4809209921597637,0.14091337942388865,0.9955850041028691,0.7138821084359203,0.6444505761554356
0.1,0,30,0.8877597358145297,0.48917195541660796,0.02836168187569392,0.9994603276223086,0.705680984903734,0.6220869371265749
0.1,0,31,0.8765447282908729,0.43743407446302873,0.0934845467559464,0.9995001429619514,0.697351747277829,0.6208630479499258
0.1,0,32,0.8967451662620495,0.5016737961886181,0.13314698824840965,0.9995864379934718,0.7002081124283374,0.6462721002241774
0.1,0,33,0.8900055850827611,0.47994985655805844,0.09081604971623466,0.9997732760742419,0.7017873253475849,0.6324664185557762
0.1,0,34,0.8960405256197381,0.48309549773340976,0.06953339379422238,0.9998163267456797,0.7131173430151998,0.63232061738165
0.1,0,35,0.8787430367295688,0.4453112947154805,0.10558274089630391,0.9999395774762274,0.7165386001100476,0.6292230499855257
0.1,0,36,0.893570477772556,0.4967096420893506,0.07160772726528412,0.999917265525135,0.6999026946066371,0.6323415614517927
0.1,0,37,0.8848202607274412,0.4736845219262756,0.09318427705974236,0.998906755643265,0.6961989763110114,0.6293589583335472
0.1,0,38,0.8892552069167321,0.48392316048473805,0.15125378006440765,0.9996934070233634,0.705542979939865,0.6459337068858213
0.1,0,39,0.8764802717009876,0.4432551894700282,0.09819102676068074,0.9998216496793664,0.7364450564327657,0.6308386388087658
0.1,0,40,0.8875288941747759,0.4810655729475344,0.11090674823152147,0.9998724372800789,0.7062662642523755,0.6371279833772573
0.1,0,41,0.8925571975767735,0.49415253808446097,0.11068341886529731,0.9994053088854862,0.7080450816337915,0.6409687090091619
0.1,0,42,0.8573889105815118,0.4001872811226997,0.06205115962883636,0.9951137401405166,0.7389275170898559,0.6107337217126841
0.1,0,43,0.8575499756310756,0.4092445237224005,0.04044807655681268,0.9989125041086406,0.7061349599663064,0.6024580079970472
0.1,0,44,0.8907440723498687,0.49656663070454143,0.09989440579426202,0.9997115842126413,0.7153167234330977,0.6404466832988822
0.1,0,45,0.8778694451385455,0.4457521075230406,0.1037164354092097,0.9999453733563097,0.7047635567003346,0.626409383625488
0.1,0,46,0.882742671843248,0.4635820867940137,0.10898555962942855,0.9996598962092438,0.7069612989887067,0.6323863026929283
0.1,0,47,0.883512342682528,0.47320189347215674,0.11757736667722934,0.9992674993517472,0.7340048252861451,0.6415127854939613
0.1,0,48,0.8870616711144481,0.47686346916692557,0.10752222730038061,0.9999109643294062,0.7079101820957003,0.6358537028013722
0.1,0,49,0.8875084819213491,0.47634099695087023,0.1350471474704725,0.999864412306666,0.7044107945378267,0.640634366637437
0.1,0,50,0.8970225984746221,0.4844330100033429,0.08813817723953056,0.9999113508255872,0.730811122441379,0.6400632517968925
0.1,0,51,0.876880620254779,0.4461220673354974,0.1449037841360002,0.9999440445504292,0.6860766897902341,0.630785441213388
0.1,0,52,0.8787690365315981,0.4479404945557131,0.09125065123141422,0.9989000886814173,0.6937202579707316,0.6221161057941749
0.1,0,53,0.8812128165781923,0.438495248431076,0.05881839213294529,0.9998400215198933,0.7042048339067964,0.6165142625137807
0.1,0,54,0.8795424211658052,0.45718137993430746,0.07206369027676883,0.9999041139324983,0.7321541701947983,0.6281691551008357
0.1,0,55,0.8725626075309696,0.44307530466223527,0.03278695786516718,0.9983505781712241,0.7285910191914841,0.615073293484216
0.1,0,56,0.8677607319037487,0.4253237160646173,0.11877120027716108,0.999725621455426,0.7138836599299642,0.6250929859261835
0.1,0,57,0.893390751866738,0.4974203959441125,0.03614290570971437,0.9999486536577454,0.6950909505684362,0.6243987315493493
0.1,0,58,0.8706132820402822,0.4374577104373756,0.08235722986463559,0.9996784536006609,0.7231239313714128,0.6226461214628735
0.1,0,59,0.8842587882480961,0.46808267461372927,0.032017395391776775,0.99999532749076,0.6780657703270448,0.6124839912142814
0.1,0,60,0.8936110358383309,0.49548228363659086,0.028012220549463448,0.9992683467335104,0.7135700476262974,0.6259887868768386
0.1,0,61,0.8693715024952661,0.42722258935906554,0.11101139462018034,0.9997575737847765,0.7045909082011836,0.6223907936920945
0.1,0,62,0.8793330455948649,0.4595742717781367,0.07484254551996844,0.9998675066198079,0.7210567227544473,0.6269348184534451
0.1,0,63,0.8895876059380126,0.4895686178238623,0.02843395080750308,0.9999406194197811,0.7155870624852828,0.6246235712948884
0.1,0,64,0.8738144118960319,0.44676873789514393,0.01968620774698529,0.9988005633696484,0.7153728861353448,0.6108885614086309
0.1,0,65,0.8901687955774951,0.4780395545876654,0.03417965225450655,0.9999948897921336,0.7246648174200285,0.6254095419263659
0.1,0,66,0.9004533626855152,0.5237109338200786,0.06025236485506113,0.9999516546673397,0.6958271270750396,0.6360390886206069
0.1,0,67,0.9041762871688042,0.5194013116956708,0.20682082526506854,0.9999718278996639,0.71761420735446,0.6695968918767334
0.1,0,68,0.893318743449177,0.5036675923205011,0.2003757334786142,0.9999835139764688,0.7168676404254541,0.6628426447300432
0.1,0,69,0.8856583172680901,0.4560849169597923,0.08597725549936802,0.9998913932379379,0.7258798261749506,0.6306983418280278
0.1,0,70,0.8697316043010117,0.42889447979400275,0.02125120691976247,0.9997975138002148,0.7119276694910222,0.6063204948612028
0.1,0,71,0.9112009307277982,0.5571135782573318,0.12736472894738307,0.9996717097363861,0.7211160733526935,0.6632934042043186
0.1,0,72,0.8759160058984173,0.4498900596855045,0.10675306880241102,0.9996134000482769,0.7246753821135071,0.6313695833096233
0.1,0,73,0.8905838117746214,0.4987780561763309,0.09475826077291465,0.9998967439843158,0.7177201041732858,0.6403473953762937
0.1,0,74,0.8848587801406771,0.4710910353775426,0.10587283344041877,0.9998687511590784,0.7134828456324018,0.6350348491500237
0.1,0,75,0.900009186976596,0.5113870330387128,0.06795537852083862,0.9999486637018349,0.7050725111619457,0.6368745546799857
0.1,0,76,0.8884897132598031,0.4817764563194878,0.08447702401193938,0.9993820716368487,0.692542409295911,0.629333534904798
0.1,0,77,0.8807132226439092,0.455515602145946,0.2110698477718333,0.9998149539417405,0.7124771494589243,0.6519181551924706
0.1,0,78,0.8816936192160169,0.4621800642604456,0.06931288944573866,0.9998266098267707,0.7067884162478435,0.6239603197993631
0.1,0,79,0.9013567572833407,0.5202481615027845,0.11445546950199995,0.9997214680764479,0.7082257503073937,0.6488015213343934
0.1,0,80,0.8693686369147864,0.4278043811514408,0.09729000500624264,0.9997180402915755,0.7234484074034818,0.6235258941535055
0.1,0,81,0.8810275164698175,0.4586712830386409,0.07807969931377746,0.9996970899549138,0.6941348205584679,0.6223220818671236
0.1,0,82,0.8934718056506598,0.4975944601458494,0.08716362357397262,0.9999210782187626,0.7042462094516265,0.6364794354081742
0.1,0,83,0.8803060248413446,0.4553129002869327,0.14473738114528176,0.9999620610643807,0.7237659846079003,0.640816870389168
0.1,0,84,0.8807312968021896,0.46405235250770266,0.23142372955435903,0.9998937545105144,0.7032584706699151,0.6558719208089363
0.1,0,85,0.8727931151796,0.4359912477863479,0.07770181540868269,0.9981437931170705,0.716223818901281,0.6201707580785965
0.1,0,86,0.9010057868381092,0.5063048252108475,0.10767724578879075,0.9999304991813609,0.7099855971865777,0.6449807908411371
0.1,0,87,0.8614448879433344,0.41138145593654146,0.16950431805879834,0.9995336543084945,0.7239684093850095,0.6331665451264357
0.1,0,88,0.8954840966493033,0.49402538921438705,0.06373305056154475,0.999812149050735,0.69345278682783,0.62930149446076
0.1,0,89,0.8859630055543857,0.48386589268566643,0.08129740060168877,0.9998663840630386,0.7100684433233799,0.6322122252456319
0.1,0,90,0.8998137330846572,0.5162384456765952,0.18473235252693726,0.9998313420397312,0.7471847775964633,0.6695601301848769
0.1,0,91,0.8927726394553374,0.4913704369778489,0.0641965193158023,0.999950095835483,0.7260200711498677,0.6348619525468678
0.1,0,92,0.8814522495045659,0.4582723544020296,0.11983755855219304,0.9996863032357524,0.7095183104861187,0.633753355236132
0.1,0,93,0.9001005604695447,0.5028162446514426,0.0861012267467991,0.999812835725888,0.7063508784765047,0.6390363492140358
0.1,0,94,0.8727344705233204,0.43621357738786903,0.07780844542447785,0.9994388941964878,0.720171750216608,0.6212734275497527
0.1,0,95,0.8863896050542793,0.4500163021000131,0.11022229560224536,0.9995288261590811,0.6857159107904333,0.6263745879412105
0.1,0,96,0.886369750612968,0.4818080504040742,0.04434753490169417,0.9999260754998411,0.7100263029602413,0.6244955428757638
0.1,0,97,0.9071285080913388,0.527169927044213,0.05835384983432216,0.9999866984780069,0.7217772977013502,0.6428832562298462
0.1,0,98,0.8887775631763829,0.49174158680745317,0.1388870503262518,0.9999488840011421,0.7139173485981127,0.6466544865818685
0.1,0,99,0.8817879747966179,0.45890225294000453,0.15337157381443758,0.9999216179955541,0.7076115033942235,0.6403189845881675
0.1,0,100,0.8830993479461872,0.4688162720032569,0.03118104458698513,0.9999457701492104,0.6972662441121668,0.6160617357595612
0.1,0,101,0.889963000821924,0.4786193747517071,0.04301907901234229,0.9998877701602393,0.7332606462787412,0.6289499742049908
0.1,0,102,0.891210785188268,0.48040081124104916,0.06883977150358347,0.9997320907261686,0.7137206525272046,0.6307808222372548
0.1,0,103,0.8716310332291832,0.4416047545089997,0.10067597824155658,0.9999427575561248,0.6968400644081563,0.6221389175888041
0.1,0,104,0.8991281941527305,0.5153644009466747,0.08213341371224449,0.9998926443075729,0.6871849225949165,0.6367407151428278
0.1,0,105,0.8760424055864348,0.4312634216527114,0.1305234733659778,0.9997678093391238,0.7029993798483938,0.6281192979585284
0.1,0,106,0.8877452926998612,0.47807667680819754,0.09756573414669266,0.9998613398038823,0.7052320540815519,0.6336962195080372
0.1,0,107,0.8726155602869567,0.4373179364694247,0.1059329097993153,0.9975946433227874,0.736373995812496,0.629967009138196
0.1,0,108,0.8813706895510418,0.46654737413920827,0.09649989774552842,0.9999527225651849,0.7231724007161204,0.6335086169434168
0.1,0,109,0.898629036247658,0.49957706238767474,0.08690971073575461,0.9999753036654809,0.69948785359733,0.6369157933267797
0.1,0,110,0.8708490659690227,0.43748154999615474,0.02805501595524841,0.9906275754251692,0.703786108242192,0.6061598631175574
0.1,0,111,0.8875279114236708,0.4847892465206895,0.18177989511121131,0.9997255902188598,0.7071286995442188,0.6521902685637301
0.1,0,112,0.8906026726693843,0.48555364211625035,0.14436757936212546,0.9998999466588414,0.6888985809660837,0.641864484354537
