alpha,C_mean,C_std,kappa_mean,kappa_std
1.5,0.4958495729949767,0.015935977316434476,0.45485608612508954,0.003975613346505219
1.530612244897959,0.49597251669036824,0.015824543990761643,0.45444584237472185,0.004063774267603325
1.5612244897959184,0.49615254246059176,0.01570037017426173,0.4541550889261482,0.004146759302485743
1.5918367346938775,0.49638028689211255,0.015565764921122828,0.4539688124089822,0.004224795570542568
1.6224489795918366,0.49664790545946236,0.015422677347460325,0.4538733732734701,0.0042981245950320535
1.653061224489796,0.4969485152763643,0.01527266527893953,0.4538564591686122,0.004366995713401332
1.683673469387755,0.4972755393618673,0.015117075648523628,0.45390701996480065,0.004431660690053901
1.7142857142857142,0.49762377299475025,0.014957136586839162,0.4540151904643143,0.004492369418291901
1.7448979591836735,0.4979887796335247,0.014793890488050312,0.4541722057464309,0.004549366583322589
1.7755102040816326,0.4983668231578654,0.014628040743264993,0.45437031308394327,0.00460288915426637
1.806122448979592,0.49875382363206305,0.014460667091414194,0.4546026834723628,0.00465316457679088
1.836734693877551,0.4991471470378375,0.014292270665462674,0.4548633250434483,0.004700409546656308
1.8673469387755102,0.4995444181318135,0.014123460980934711,0.45514699999085073,0.004744829256006486
1.8979591836734695,0.49994341826129124,0.013954767293460105,0.45544914611016807,0.004786617017121301
1.9285714285714286,0.5003422257391339,0.013786571369105702,0.45576580363683555,0.004825954181457821
1.9591836734693877,0.5007393679500738,0.013619335556746505,0.4560935477393027,0.0048630102844129
1.989795918367347,0.5011335801117643,0.013453360550571834,0.4564294267777935,0.004897943357883481
2.020408163265306,0.5015238118235821,0.013288931673565436,0.4567709062570245,0.004930900363142505
2.0510204081632653,0.5019095754278624,0.01312654818497511,0.45711581827228087,0.004962017705693071
2.0816326530612246,0.5022892322606262,0.012965989613250758,0.4574623161613326,0.00499142180161411
2.112244897959184,0.5026626433762503,0.012807514919038296,0.457808834020539,0.005019229671548929
2.142857142857143,0.503029438354621,0.012651457219950224,0.458154050714362,0.005045549544007462
2.173469387755102,0.5033891385843194,0.012497816790177783,0.45849685799703055,0.005070481454191384
2.204081632653061,0.5037415299683106,0.01234678402370647,0.45883633236813903,0.005094117828230497
2.2346938775510203,0.5040863957058306,0.012198367854675603,0.4591717102964684,0.005116544045665824
2.2653061224489797,0.5044235427289963,0.012052681261171885,0.45950236646513565,0.005137838975348534
2.295918367346939,0.504752948892507,0.011909779568549548,0.45982779471388946,0.005158075481744051
2.326530612244898,0.5050746683710178,0.011769699378245856,0.4601475913791721,0.00517732090003155
2.357142857142857,0.5053884636137844,0.011632523826321208,0.46046144075811446,0.005195637479450503
2.387755102040816,0.5056945429451762,0.011498225347504025,0.4607691024479922,0.0052130827951311
2.4183673469387754,0.5059929481793483,0.011366841031577606,0.4610704003371696,0.0052297101292135975
2.4489795918367347,0.5062837363643522,0.011238350495931734,0.4613652130467735,0.005245568822457802
2.479591836734694,0.5065669788682119,0.011112780064742221,0.46165346564400744,0.0052607045978058965
2.510204081632653,0.5068428403376942,0.010990090388751364,0.46193512246799767,0.0052751598575213115
2.5408163265306123,0.5071114502124272,0.010870291937047718,0.4622101809273097,0.005288973955607196
2.571428571428571,0.5073729337199457,0.010753361587992538,0.4624786661448178,0.005302183447230965
2.6020408163265305,0.5076274081374876,0.010639270391207085,0.46274062634049623,0.0053148223168610394
2.63265306122449,0.5078750395191082,0.010527982036913729,0.46299612885602615,0.005326922186772349
2.663265306122449,0.5081159868098374,0.010419423151731652,0.4632452567369977,0.005338512507506021
2.693877551020408,0.5083503750831232,0.010313666336546196,0.4634881057990226,0.005349620731783567
2.7244897959183674,0.5085783791724741,0.010210635725403037,0.4637247821133985,0.005360272473285596
2.7551020408163263,0.5088001561963731,0.01011027297925833,0.46395539985618894,0.00537049165160755
2.7857142857142856,0.5090158679888614,0.010012552272565605,0.46418007947181783,0.005380300624610238
2.816326530612245,0.5092256703572128,0.009917423614217153,0.4643989461086197,0.005389720309288147
2.8469387755102042,0.5094296998512244,0.009824861536826456,0.4646121282893533,0.005398770292187405
2.877551020408163,0.5096281331589344,0.009734781834008076,0.46481975678454257,0.005407468930318882
2.9081632653061225,0.5098211071814032,0.00964718089964994,0.46502196366075815,0.00541583344343018
2.9387755102040813,0.5100087886880257,0.009561966876977945,0.4652188814796522,0.005423879998423733
2.9693877551020407,0.5101913235420429,0.00947912316260763,0.46541064262678394,0.00543162378663751
3.0,0.510368842058744,0.009398589671458341,0.4655973787520784,0.005439079094639947
