lesion_type,n_removed,C,H_mode,PR
Baseline,0,0.6678697220010781,0.9908732207358657,0.9462527310986619
Hub removal (1),1,0.6943889736109975,0.9908732207358659,0.9462527310986614
Hub removal (2),2,0.6724639033192821,0.9908732207358659,0.9462527310986614
Hub removal (5),5,0.6195224592513655,0.9908732207358659,0.9462527310986614
Hub removal (10),10,0.569599854603533,0.9908732207358659,0.9462527310986614
Random removal (1),1,0.7044936393961363,0.9908732207358659,0.9462527310986614
Random removal (2),2,0.6870570703342778,0.9908732207358659,0.9462527310986614
Random removal (5),5,0.6669943829937244,0.9908732207358659,0.9462527310986614
Random removal (10),10,0.6989899189384895,0.9908732207358659,0.9462527310986614
