k,p,n_nodes,n_edges,density,avg_clustering,transitivity,avg_path_length,avg_degree,degree_std,max_degree,small_world_sigma,rich_club_max,modularity,n_communities,H_mode,PR,R,S_dot,kappa,C,sheaf_consistency
4,0.0,100,200,0.04040404040404041,0.5,0.5,12.878787878787879,4.0,0.0,4,3.191982084116768,0.04040404040404041,0.6942128976907136,4,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.29442512158770606,0.577485431626232,0.9318048866915831
4,0.1,100,200,0.04040404040404041,0.38299999999999995,0.3652597402597403,4.906464646464647,4.0,0.565685424949238,5,6.4179382024388385,0.09166666666666666,0.7126604686330547,10,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.3877856541396893,0.5961575381366286,0.8973113830524101
4,0.2,100,200,0.04040404040404041,0.259,0.23659305993690852,4.141414141414141,4.0,0.8246211251235321,6,5.141816018182731,0.055384615384615386,0.6362427776704542,9,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.45548978787883476,0.6096983648844578,0.8739479218617456
4,0.30000000000000004,100,200,0.04040404040404041,0.20261904761904762,0.16767371601208458,3.8062626262626265,4.0,1.1135528725660044,7,4.37670172296334,0.1111111111111111,0.6083728678109974,8,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.5259136215081405,0.623783131610319,0.8633845762771526
4,0.4,100,200,0.04040404040404041,0.1616190476190476,0.1324200913242009,3.710909090909091,4.0,1.0677078252031311,7,3.5807801631897163,0.07142857142857142,0.5744670837817698,8,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.5513637550999576,0.6288731583286824,0.8686114394945215
4,0.5,100,200,0.04040404040404041,0.09699999999999999,0.08597285067873303,3.6347474747474746,4.0,1.1224972160321824,8,2.1941328604554315,0.08333333333333333,0.5392659094077448,8,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.5482053685426592,0.6282414810172227,0.8276223182811262
4,0.6000000000000001,100,200,0.04040404040404041,0.06661904761904762,0.06484149855907781,3.514747474747475,4.0,1.3711309200802089,7,1.5583669285991228,0.11764705882352941,0.49824420981171946,8,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.60665186719899,0.6399307807484889,0.8656855882562118
4,0.7000000000000001,100,200,0.04040404040404041,0.04230952380952381,0.03380281690140845,3.418989898989899,4.0,1.4832396974191326,8,1.0174328381829214,0.17857142857142858,0.4583153730961751,8,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.6343589935686722,0.6454722060224253,0.841041182556284
4,0.8,100,200,0.04040404040404041,0.02161111111111111,0.02601156069364162,3.4404040404040406,4.0,1.3564659966250536,9,0.5164557037156045,0.3333333333333333,0.4574127709849341,8,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.6238366377381259,0.643367734856316,0.8472339288587472
4,0.9,100,200,0.04040404040404041,0.04438095238095238,0.04457652303120357,3.472929292929293,4.0,1.2083045973594573,8,1.0506694562093553,0.07272727272727272,0.4759581679104739,9,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.630215283775822,0.6446434640638552,0.8563042769541308
4,1.0,100,200,0.04040404040404041,0.022507936507936508,0.03012912482065997,3.4234343434343435,4.0,1.3928388277184118,9,0.5405540296046744,0.16666666666666666,0.4681963144189736,8,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.5934259628328661,0.637285599875264,0.8346573194786701
6,0.0,100,300,0.06060606060606061,0.6,0.6,8.757575757575758,6.0,0.0,6,2.9054758350186694,0.06060606060606061,0.6047493087320315,3,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.31365024063019525,0.5813304554347298,0.8314160077436984
6,0.1,100,300,0.06060606060606061,0.4430238095238095,0.4296977660972405,3.6175757575757577,6.0,0.6633249580710799,8,5.1934906345395655,0.1,0.6138023736630946,5,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.42069208593883745,0.6027388244964583,0.8366650464832581
6,0.2,100,300,0.06060606060606061,0.30903968253968256,0.2911311053984576,3.096363636363636,6.0,1.0583005244258363,9,4.232648565893144,0.09523809523809523,0.5840966839673545,7,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.521393216442139,0.6228790505971187,0.8091056846615379
6,0.30000000000000004,100,300,0.06060606060606061,0.20976984126984127,0.1897307451471509,2.935959595959596,6.0,1.3928388277184118,10,3.030001860689298,0.3333333333333333,0.5317928327797288,7,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.5709316022564275,0.6327867277599764,0.8319745174498875
6,0.4,100,300,0.06060606060606061,0.1898015873015873,0.18170347003154574,2.8905050505050505,6.0,1.3038404810405297,9,2.7846846943493513,0.3333333333333333,0.48916131130973795,6,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.6047973466891455,0.6395598766465199,0.8062086960231396
6,0.5,100,300,0.06060606060606061,0.14197691197691198,0.12971985383678442,2.85030303030303,6.0,1.6852299546352716,11,2.112402202639676,1.0,0.452338190293708,7,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.6285334929574643,0.6443071059001837,0.7945596397124322
6,0.6000000000000001,100,300,0.06060606060606061,0.08367243867243868,0.07678244972577697,2.7606060606060607,6.0,1.6792855623746665,11,1.285369261821026,0.1388888888888889,0.3814201714241762,6,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.6775285964551536,0.6541061265997216,0.7612651387238826
6,0.7000000000000001,100,300,0.06060606060606061,0.06656349206349206,0.06200607902735562,2.7343434343434345,6.0,1.70293863659264,10,1.032364250294527,0.14285714285714285,0.3727171252169562,6,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.6769205989574223,0.6539845271001753,0.7790359969804368
